344.31	0.00
344.51	126.00
344.71	127.00
344.90	126.00
345.10	128.00
345.30	130.00
345.50	128.00
345.69	127.00
345.89	132.00
346.09	133.00
346.28	133.00
346.48	131.00
346.68	134.00
346.88	138.00
347.07	141.00
347.27	138.00
347.47	135.00
347.66	134.00
347.86	138.00
348.06	133.00
348.25	135.00
348.45	135.00
348.65	132.00
348.85	134.00
349.04	137.00
349.24	139.00
349.44	143.00
349.63	142.00
349.83	142.00
350.02	140.00
350.22	143.00
350.42	145.00
350.61	139.00
350.81	140.00
351.01	138.00
351.20	146.00
351.40	141.00
351.60	142.00
351.79	144.00
351.99	144.00
352.19	141.00
352.38	143.00
352.58	142.00
352.77	142.00
352.97	144.00
353.17	144.00
353.36	146.00
353.56	152.00
353.75	149.00
353.95	143.00
354.15	138.00
354.34	142.00
354.54	144.00
354.73	138.00
354.93	147.00
355.13	145.00
355.32	147.00
355.52	147.00
355.71	142.00
355.91	149.00
356.10	150.00
356.30	148.00
356.50	147.00
356.69	150.00
356.89	145.00
357.08	144.00
357.28	145.00
357.47	148.00
357.67	144.00
357.86	140.00
358.06	148.00
358.25	145.00
358.45	144.00
358.65	148.00
358.84	146.00
359.04	147.00
359.23	153.00
359.43	149.00
359.62	153.00
359.82	153.00
360.01	151.00
360.21	151.00
360.40	157.00
360.60	151.00
360.79	151.00
360.99	150.00
361.18	155.00
361.38	153.00
361.57	150.00
361.77	149.00
361.96	156.00
362.16	159.00
362.35	156.00
362.54	156.00
362.74	155.00
362.93	155.00
363.13	158.00
363.32	160.00
363.52	157.00
363.71	160.00
363.91	170.00
364.10	156.00
364.30	152.00
364.49	158.00
364.68	159.00
364.88	162.00
365.07	158.00
365.27	157.00
365.46	166.00
365.66	161.00
365.85	163.00
366.04	165.00
366.24	168.00
366.43	164.00
366.63	165.00
366.82	166.00
367.01	168.00
367.21	168.00
367.40	164.00
367.60	166.00
367.79	166.00
367.98	167.00
368.18	170.00
368.37	162.00
368.56	169.00
368.76	172.00
368.95	168.00
369.15	173.00
369.34	171.00
369.53	178.00
369.73	176.00
369.92	174.00
370.11	175.00
370.31	170.00
370.50	175.00
370.69	175.00
370.89	182.00
371.08	175.00
371.27	182.00
371.47	180.00
371.66	175.00
371.85	179.00
372.05	181.00
372.24	176.00
372.43	186.00
372.63	187.00
372.82	183.00
373.01	174.00
373.21	179.00
373.40	173.00
373.59	178.00
373.78	181.00
373.98	185.00
374.17	185.00
374.36	188.00
374.56	183.00
374.75	189.00
374.94	191.00
375.13	198.00
375.33	204.00
375.52	202.00
375.71	206.00
375.91	193.00
376.10	198.00
376.29	208.00
376.48	206.00
376.68	208.00
376.87	206.00
377.06	215.00
377.25	218.00
377.45	220.00
377.64	225.00
377.83	229.00
378.02	230.00
378.21	233.00
378.41	232.00
378.60	217.00
378.79	219.00
378.98	217.00
379.18	213.00
379.37	221.00
379.56	216.00
379.75	213.00
379.94	219.00
380.14	223.00
380.33	233.00
380.52	233.00
380.71	235.00
380.90	233.00
381.09	225.00
381.29	221.00
381.48	222.00
381.67	220.00
381.86	216.00
382.05	212.00
382.25	209.00
382.44	208.00
382.63	206.00
382.82	201.00
383.01	205.00
383.20	205.00
383.39	207.00
383.59	199.00
383.78	214.00
383.97	228.00
384.16	231.00
384.35	240.00
384.54	246.00
384.73	244.00
384.92	238.00
385.12	241.00
385.31	242.00
385.50	239.00
385.69	240.00
385.88	239.00
386.07	254.00
386.26	255.00
386.45	256.00
386.64	260.00
386.84	259.00
387.03	253.00
387.22	254.00
387.41	271.00
387.60	264.00
387.79	265.00
387.98	261.00
388.17	268.00
388.36	269.00
388.55	276.00
388.74	269.00
388.93	291.00
389.12	307.00
389.31	319.00
389.51	325.00
389.70	321.00
389.89	321.00
390.08	329.00
390.27	334.00
390.46	333.00
390.65	345.00
390.84	370.00
391.03	366.00
391.22	383.00
391.41	376.00
391.60	373.00
391.79	364.00
391.98	353.00
392.17	344.00
392.36	341.00
392.55	327.00
392.74	305.00
392.93	276.00
393.12	254.00
393.31	259.00
393.50	270.00
393.69	307.00
393.88	355.00
394.07	371.00
394.26	389.00
394.45	420.00
394.64	445.00
394.83	468.00
395.02	472.00
395.21	484.00
395.40	487.00
395.59	490.00
395.77	471.00
395.96	449.00
396.15	430.00
396.34	379.00
396.53	349.00
396.72	338.00
396.91	336.00
397.10	382.00
397.29	429.00
397.48	498.00
397.67	534.00
397.86	567.00
398.05	615.00
398.24	626.00
398.43	657.00
398.61	656.00
398.80	668.00
398.99	667.00
399.18	720.00
399.37	719.00
399.56	697.00
399.75	708.00
399.94	714.00
400.13	738.00
400.31	758.00
400.50	725.00
400.69	749.00
400.88	738.00
401.07	782.00
401.26	805.00
401.45	780.00
401.64	794.00
401.82	790.00
402.01	791.00
402.20	831.00
402.39	807.00
402.58	805.00
402.77	799.00
402.95	796.00
403.14	760.00
403.33	751.00
403.52	775.00
403.71	822.00
403.90	836.00
404.08	804.00
404.27	795.00
404.46	771.00
404.65	742.00
404.84	760.00
405.02	798.00
405.21	821.00
405.40	799.00
405.59	789.00
405.78	771.00
405.96	783.00
406.15	758.00
406.34	765.00
406.53	740.00
406.72	798.00
406.90	770.00
407.09	811.00
407.28	812.00
407.47	780.00
407.65	818.00
407.84	797.00
408.03	819.00
408.22	842.00
408.40	869.00
408.59	864.00
408.78	883.00
408.97	902.00
409.15	896.00
409.34	872.00
409.53	870.00
409.72	835.00
409.90	808.00
410.09	780.00
410.28	809.00
410.47	807.00
410.65	846.00
410.84	924.00
411.03	930.00
411.21	949.00
411.40	980.00
