344.31	0.00
344.51	123.00
344.71	127.00
344.90	132.00
345.10	130.00
345.30	133.00
345.50	132.00
345.69	130.00
345.89	134.00
346.09	136.00
346.28	134.00
346.48	136.00
346.68	138.00
346.88	134.00
347.07	131.00
347.27	136.00
347.47	135.00
347.66	136.00
347.86	134.00
348.06	137.00
348.25	132.00
348.45	138.00
348.65	138.00
348.85	134.00
349.04	133.00
349.24	136.00
349.44	135.00
349.63	137.00
349.83	141.00
350.02	132.00
350.22	130.00
350.42	139.00
350.61	136.00
350.81	136.00
351.01	134.00
351.20	136.00
351.40	136.00
351.60	135.00
351.79	136.00
351.99	138.00
352.19	136.00
352.38	137.00
352.58	139.00
352.77	133.00
352.97	137.00
353.17	135.00
353.36	134.00
353.56	135.00
353.75	134.00
353.95	137.00
354.15	142.00
354.34	137.00
354.54	139.00
354.73	134.00
354.93	134.00
355.13	134.00
355.32	134.00
355.52	135.00
355.71	136.00
355.91	138.00
356.10	136.00
356.30	139.00
356.50	133.00
356.69	136.00
356.89	135.00
357.08	132.00
357.28	134.00
357.47	139.00
357.67	140.00
357.86	139.00
358.06	138.00
358.25	138.00
358.45	138.00
358.65	142.00
358.84	136.00
359.04	135.00
359.23	138.00
359.43	134.00
359.62	135.00
359.82	136.00
360.01	141.00
360.21	139.00
360.40	137.00
360.60	135.00
360.79	140.00
360.99	134.00
361.18	140.00
361.38	134.00
361.57	134.00
361.77	134.00
361.96	138.00
362.16	144.00
362.35	140.00
362.54	139.00
362.74	138.00
362.93	140.00
363.13	138.00
363.32	134.00
363.52	135.00
363.71	137.00
363.91	142.00
364.10	136.00
364.30	139.00
364.49	141.00
364.68	141.00
364.88	139.00
365.07	140.00
365.27	137.00
365.46	139.00
365.66	141.00
365.85	136.00
366.04	136.00
366.24	140.00
366.43	139.00
366.63	143.00
366.82	140.00
367.01	140.00
367.21	139.00
367.40	137.00
367.60	136.00
367.79	140.00
367.98	134.00
368.18	138.00
368.37	139.00
368.56	138.00
368.76	143.00
368.95	138.00
369.15	142.00
369.34	132.00
369.53	134.00
369.73	140.00
369.92	142.00
370.11	140.00
370.31	139.00
370.50	140.00
370.69	142.00
370.89	138.00
371.08	142.00
371.27	141.00
